Pass-thru (1 Vpp)

in,out
2.02,1.82

Analog filter: but | Analog-to-Discrete Method: bilinear
freq,amp
100,1.8
200,1.78
500,1.78
1000,1.78
1500,1.78
1800,1.74
1900,1.62
2000,1.42
2200,0.776
2400,0.348
2600,0.133
2800,0.0744
3000,0.0424

Analog filter: but | Analog-to-Discrete Method: matched
freq,amp
100,1.78
200,1.78
500,1.78
1000,1.78
1500,1.78
1800,1.76
1900,1.68
2000,1.46
2200,0.864
2400,0.412
2600,0.151
2800,0.088
3000,0.035

Analog filter: but | Analog-to-Discrete Method: zoh
freq,amp
100,1.78
200,1.78
500,1.78
1000,1.78
1500,1.78
1800,1.64
1900,1.42
2000,1.08
2200,0.504
2400,0.224
2600,0.0912
2800,0.0520
3000,0.0320

Analog filter: cau | Analog-to-Discrete Method: bilinear
freq,amp
100,1.74
200,1.74
500,1.78
1000,1.78
1500,1.78
1800,1.74
1900,1.46
2000,1.14
2200,0.592
2400,0.308
2600,0.166
2800,0.080
3000,0.0448

Analog filter: cau | Analog-to-Discrete Method: matched (not ok)
freq,amp
100,
200,
500,
1000,
1500,
1800,
1900,
2000,
2200,
2400,
2600,
2800,
3000,

Analog filter: cau | Analog-to-Discrete Method: zoh
freq,amp
100,1.64
200,1.66
500,1.74
1000,1.74
1500,1.68
1800,1.64
1900,1.26
2000,0.856
2200,0.408
2400,0.212
2600,0.118
2800,0.064
3000,0.0408
